,Unnamed: 0,Unnamed: 0.1,Datetime,Open,High,Low,Close,Volume,ma,moving average 5,moving average 10,moving average 20
1300,1300,1300,2020-05-28 09:36:00-04:00,181.2400054931641,181.6699981689453,181.17999267578125,181.55990600585938,125849,180.619,181.142,-0.8139060058593657,180.067
1301,1301,1301,2020-05-28 09:37:00-04:00,181.5500030517578,181.7400054931641,181.47000122070312,181.52999877929688,90802,180.834,181.227,-0.640998779296865,180.164
1302,1302,1302,2020-05-28 09:38:00-04:00,181.5249938964844,181.6300048828125,181.44000244140625,181.5200042724609,100859,181.041,181.339,-0.5160042724609184,180.257
1303,1303,1303,2020-05-28 09:39:00-04:00,181.52999877929688,181.7400054931641,181.3300018310547,181.3567047119141,126298,181.237,181.435,-0.28870471191407887,180.349
1304,1304,1304,2020-05-28 09:40:00-04:00,181.38999938964844,181.90499877929688,181.3300018310547,181.77999877929688,106615,181.296,181.549,-0.5829987792968723,180.463
1305,1305,1305,2020-05-28 09:41:00-04:00,181.72999572753903,181.91000366210938,181.66000366210938,181.75,87785,181.365,181.587,-0.4519999999999982,180.571
1306,1306,1306,2020-05-28 09:42:00-04:00,181.75999450683602,182.0780029296875,181.7100067138672,181.9499053955078,128415,181.449,181.671,-0.5339053955078157,180.686
1307,1307,1307,2020-05-28 09:43:00-04:00,181.97000122070312,182.2375030517578,181.9149932861328,182.1999969482422,90532,181.573,181.807,-0.64099694824219,180.816
1308,1308,1308,2020-05-28 09:44:00-04:00,182.1999969482422,182.3500061035156,182.0,182.02980041503903,96892,181.689,181.942,-0.3858004150390286,180.945
1309,1309,1309,2020-05-28 09:45:00-04:00,182.0449981689453,182.1000061035156,181.69000244140625,181.7700042724609,103145,181.745,181.94,-0.10300427246090749,181.069
1310,1310,1310,2020-05-28 09:46:00-04:00,181.78500366210938,182.0399932861328,181.7400054931641,181.9850006103516,88151,181.787,181.987,-0.2600006103515966,181.203
1311,1311,1311,2020-05-28 09:47:00-04:00,181.99180603027344,182.3800048828125,181.97000122070312,182.1999969482422,103772,181.854,182.037,-0.38899694824218045,181.344
1312,1312,1312,2020-05-28 09:48:00-04:00,182.1999969482422,182.22999572753903,181.97000122070312,181.97999572753903,69844,181.9,181.993,-0.13799572753902112,181.471
1313,1313,1313,2020-05-28 09:49:00-04:00,181.99110412597656,182.01499938964844,181.72000122070312,181.80050659179688,65017,181.945,181.947,0.03449340820313296,181.591
1314,1314,1314,2020-05-28 09:50:00-04:00,181.8000030517578,181.8000030517578,181.5,181.51499938964844,93120,181.918,181.896,0.26100061035157296,181.607
1315,1315,1315,2020-05-28 09:51:00-04:00,181.5290985107422,181.75,181.50999450683602,181.6199951171875,75251,181.905,181.823,0.12800488281249045,181.635
1316,1316,1316,2020-05-28 09:52:00-04:00,181.6199951171875,181.7855987548828,181.5800018310547,181.65499877929688,71514,181.876,181.714,0.07600122070311954,181.662
1317,1317,1317,2020-05-28 09:53:00-04:00,181.6499938964844,181.6750030517578,181.4900054931641,181.53700256347656,73563,181.809,181.626,0.15899743652343545,181.691
1318,1318,1318,2020-05-28 09:54:00-04:00,181.5399932861328,181.6000061035156,181.4600067138672,181.55259704589844,64748,181.762,181.576,0.11740295410155,181.725
1319,1319,1319,2020-05-28 09:55:00-04:00,181.5679931640625,181.5679931640625,181.1999969482422,181.3600006103516,104514,181.721,181.545,0.2529993896484086,181.733
1320,1320,1320,2020-05-28 09:56:00-04:00,181.3800048828125,181.47979736328125,181.1699981689453,181.25999450683602,92763,181.648,181.473,0.28900549316398383,181.718
1321,1321,1321,2020-05-28 09:57:00-04:00,181.2400054931641,181.2400054931641,181.02999877929688,181.1000061035156,63404,181.538,181.362,0.36799389648439274,181.696
1322,1322,1322,2020-05-28 09:58:00-04:00,181.1100006103516,181.16000366210938,181.0,181.07000732421875,77463,181.447,181.269,0.32499267578126023,181.674
1323,1323,1323,2020-05-28 09:59:00-04:00,181.07000732421875,181.22000122070312,180.97000122070312,181.02999877929688,80057,181.37,181.164,0.29900122070313273,181.657
1324,1324,1324,2020-05-28 10:00:00-04:00,181.0399932861328,181.05999755859366,180.42999267578125,180.4900054931641,145243,181.267,180.99,0.6859945068358968,181.593
1325,1325,1325,2020-05-28 10:01:00-04:00,180.5,180.75,180.3800048828125,180.6024932861328,110749,181.166,180.859,0.46950671386719023,181.535
1326,1326,1326,2020-05-28 10:02:00-04:00,180.58999633789062,181.05999755859366,180.56500244140625,180.88710021972656,138193,181.089,180.816,0.15089978027344841,181.482
