 ,Datetime,Open,High,Low,Close,Volume
2041,2020-06-01 10:33:00-04:00,182.1699981689453,182.3600006103516,182.1699981689453,182.3600006103516,61084
2042,2020-06-01 10:34:00-04:00,182.3500061035156,182.44000244140625,182.25999450683597,182.3950042724609,49151
2043,2020-06-01 10:35:00-04:00,182.41000366210938,182.44000244140625,182.2700042724609,182.31820678710938,39495
2044,2020-06-01 10:36:00-04:00,182.3000030517578,182.3500061035156,182.1699981689453,182.22000122070312,47919
2045,2020-06-01 10:37:00-04:00,182.2100067138672,182.2100067138672,182.1000061035156,182.1699981689453,41023
2046,2020-06-01 10:38:00-04:00,182.1699981689453,182.1750030517578,182.0500030517578,182.16000366210938,42265
2047,2020-06-01 10:39:00-04:00,182.1699066162109,182.30470275878903,182.1499938964844,182.2400054931641,35930
2048,2020-06-01 10:40:00-04:00,182.2400054931641,182.35499572753903,182.1999969482422,182.22000122070312,35808
2049,2020-06-01 10:41:00-04:00,182.22259521484372,182.2700042724609,182.16000366210938,182.17999267578125,35198
2050,2020-06-01 10:42:00-04:00,182.1999969482422,182.2899932861328,182.1499938964844,182.16000366210938,53977
2051,2020-06-01 10:43:00-04:00,182.16000366210938,182.19000244140625,182.0500030517578,182.17999267578125,75828
2052,2020-06-01 10:44:00-04:00,182.1499938964844,182.22000122070312,182.1100006103516,182.1999969482422,49944
2053,2020-06-01 10:45:00-04:00,182.2100067138672,182.2100067138672,181.91000366210938,181.92999267578125,100552
2054,2020-06-01 10:46:00-04:00,181.91000366210938,182.0,181.8500061035156,181.9900054931641,77966
2055,2020-06-01 10:47:00-04:00,181.9949951171875,182.0399932861328,181.8800048828125,181.9199981689453,67562
2056,2020-06-01 10:48:00-04:00,181.91000366210938,181.9575958251953,181.8600006103516,181.9499969482422,57128
2057,2020-06-01 10:49:00-04:00,181.94639587402344,182.0,181.88999938964844,181.97999572753903,59025
2058,2020-06-01 10:50:00-04:00,181.9850006103516,182.0399932861328,181.75,181.7899932861328,115999
2059,2020-06-01 10:51:00-04:00,181.7899932861328,181.9900054931641,181.75,181.97999572753903,59013
2060,2020-06-01 10:52:00-04:00,181.9582977294922,182.17999267578125,181.9499969482422,182.16000366210938,67671
2061,2020-06-01 10:53:00-04:00,182.16259765625,182.2100067138672,182.1100006103516,182.1300048828125,65931
2062,2020-06-01 10:54:00-04:00,182.1300048828125,182.19000244140625,182.0500030517578,182.1499938964844,50320
2063,2020-06-01 10:55:00-04:00,182.16000366210938,182.29119873046875,182.125,182.29119873046875,42464
2064,2020-06-01 10:56:00-04:00,182.3000030517578,182.3000030517578,182.19000244140625,182.1999969482422,42875
